singers,genres,total_play,title
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",65891,Trăng Tròn
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",162810,Vầng Trăng Yêu Thương
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",275840,Rock Vầng Trăng
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",89797,Giấc Mơ Đêm Rằm
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",139267,Hội Trăng Rằm
Yến Hương,"Nhạc Thiếu Nhi,Việt Nam",1689593,Chú Voi Con Ở Bản Đôn
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",525979,Bảy Sắc Cầu Vồng
Ruby Bảo An,"Việt Nam,Nhạc Thiếu Nhi",15830,Gặp Mẹ Trong Mơ (New Version)
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",34129,Những Nụ Cười
Bé Bảo An,"Việt Nam,Nhạc Thiếu Nhi",2028245,Gặp Mẹ Trong Mơ
Bảo Khương (Nhóm Tin Tin),"Việt Nam,Nhạc Trẻ",243,Jingle Bell
Ngọc Lan Vy,"Việt Nam,Nhạc Thiếu Nhi",424,Chiếc Xe Nai
Bé Bào Ngư,"Việt Nam,Nhạc Thiếu Nhi",2601011,Con Cào Cào
Minh Hiếu (Nhóm Tóc Mây),"Việt Nam,Nhạc Thiếu Nhi",546,Cô Bé Bán Diêm
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",89078,Em Đi Rước Đèn
Tốp Ca Thiếu Nhi,"Nhạc Thiếu Nhi,Việt Nam",289254,Rước Đèn Trung Thu
Đại Nhân,"Việt Nam,Nhạc Trẻ",4929645,1 Năm Sau
Kelvin Khánh,"Việt Nam,Nhạc Trẻ",106185,Tình Yêu Không Dành Cho Ba Ngưòi
PB Nation,"Việt Nam,Nhạc Trẻ",119221,Họa
Mo Pitney,"Âu Mỹ,Country",29,Country
Ngọc Hiển,"Việt Nam,Nhạc Phim",2357529,Thằng Cuội
Dierks Bentley,"Âu Mỹ,Country",52,Riser
Darius Rucker,"Âu Mỹ,Country",180,Homegrown Honey
Hunter Hayes,"Âu Mỹ,Country",1873,21
Chase Rice,"Âu Mỹ,Country",20,Gonna Wanna Tonight
Lady Antebellum,"Âu Mỹ,Country",232,Long Stretch Of Love
Brett Eldredge,"Âu Mỹ,Country",272,One Mississippi
Kellie Pickler,"Âu Mỹ,Country",6002,Mother's Day
Pistol Annies,"Âu Mỹ,Rock",281,I Hope You're The End Of My Story
Alan Jackson,"Âu Mỹ,Country",143,Knew All Along
Mickey Guyton,"Âu Mỹ,Country",17,Safe
Jake Owen,"Âu Mỹ,Country",121,Real Life
Monty Lane Allen,"Âu Mỹ,Country",6,Fallin' Water
Scotty McCreery,"Âu Mỹ,Country",320,Southern Belle
Jana Kramer,"Âu Mỹ,Country",342,Whiskey
Faith Hill,"Country,Âu Mỹ",50372,Santa Claus Is Coming To Town
Cody Johson,"Âu Mỹ,Country",23,The Way She Loves Me
Lady Antebellum,"Âu Mỹ,Country,Pop",4152,Christmas (Baby Please Come Home)
Kenny Chesney,"Âu Mỹ,Country",121,Christmas In Dixie
"Michael W. Smith,Jennifer Nettles","Âu Mỹ,Pop",11,Christmas Day
The Robertsons,"Âu Mỹ,Country",6,Ragin' Cajun Redneck Christmas
"The Henningsens,Jerrod Niemann","Âu Mỹ,Country",9,Christmas Kissin'
Jewel,"Âu Mỹ,Country",62,It's Christmastime
Montgomery Gentry,"Âu Mỹ,Country",437,Merry Christmas From The Family
Lady Antebellum,"Âu Mỹ,Country",208,Baby It's Cold Outside
"Blake Shelton,Pistol Annies","Âu Mỹ,Country",5238,Blue Christmas
Kelsea Ballerini,"Âu Mỹ,Country",83,Dibs
Brad Paisley,"Âu Mỹ,Country",1110,Winter Wonderland
Jana Kramer,"Âu Mỹ,Country",31,Circles
Carrie Underwood,"Âu Mỹ,Country",655,Smoke Break
Maddie & Tae,"Âu Mỹ,Country",397,Fly
Blake Shelton,"Âu Mỹ,Country",204,Gonna
Thomas Rhett,"Âu Mỹ,Country",5297,Die A Happy Man
Dierks Bentley,"Âu Mỹ,Country",25273,Say You Do
Cole Swindell,"Âu Mỹ,Country",274,Ain't Worth The Whiskey
Florida Georgia Line,"Âu Mỹ,Country",460,Sun Daze
Carrie Underwood,"Âu Mỹ,Country",11742,Something In The Water
Dan + Shay,"Âu Mỹ,Country",216,Nothin' Like You
Keith Urban,"Country,Âu Mỹ",7693,Without You
Kacey Musgraves,"Âu Mỹ,Country",27,Miserable
Luke Bryan,"Âu Mỹ,Country",24,To The Moon And Back
Jason Isbell,"Âu Mỹ,Country",4,Flagship
American Young,"Âu Mỹ,Country",38,Love Is War
Matthew West,"Âu Mỹ,Pop",38,The Heart Of Christmas
SHeDAISY,"Country,Âu Mỹ",563,She Gets What I Deserved
Lonestar,"Âu Mỹ,Country",691,Come Crying To Me
Chris Stapleton,"Âu Mỹ,Country",23,Whiskey And You
Wade Bowen,"Âu Mỹ,Pop",17,Before These Walls Were Blue
Sara Evans,"Âu Mỹ,Country",8,O Holy Night
Dustin Lynch,"Âu Mỹ,Country",0,Hell Of A Night
"Blake Shelton,Kelly Clarkson","Âu Mỹ,Country",4155,There’s A New Kid In Town
Lee Brice,"Âu Mỹ,Rock",45609,A Woman Like You
Brantley Gilbert,"Âu Mỹ,Country",6,Grown Ass Man
Aaron Watson,"Âu Mỹ,Country",10,Bluebonnets (Julia's Song)
Billy Currington,"Âu Mỹ,Country",267,Don't It
Katie Armiger,"Âu Mỹ,Country",192,Safe
Faith Hill,"Country,Âu Mỹ",941,O Come All Ye Faithful
"Olivia Henken,Josh Logan","Âu Mỹ,Country",12,Have Yourself A Merry Little Christmas
Scotty McCreery,"Âu Mỹ,Country",7551,Jingle Bells
Martina Mcbride,"Âu Mỹ,Country",358,Away In A Manger
Suzy Bogguss,"Âu Mỹ,Country",57,Rudolph The Red Nosed Reindeer
"Nashville Cast,Clare Bowen","Âu Mỹ,Country",45,Santa Baby
"Idina Menzel,Michael Bublé","Âu Mỹ,Pop",2816,Baby It's Cold Outside
Darius Rucker,"Âu Mỹ,Country",101,"Let It Snow, Let It Snow, Let It Snow"
"Blake Shelton,Trypta-Phunk","Âu Mỹ,Country",4900,The Very Best Time Of Year
Dirtcaps,"Âu Mỹ,Electronic / Dance,Nhạc Phim",818,Hands Up (Yellow Claw Remix)
"Celestina,Bianca Raquel","Âu Mỹ,Electronic / Dance,Nhạc Phim",1416,Turn It Up
"Steve Aoki,Waka Flocka Flame","Âu Mỹ,Electronic / Dance,Nhạc Phim",3290,Rage The Night Away
Zeds Dead,"Âu Mỹ,Electronic / Dance,Nhạc Phim",1304,Demons
"Kraak & Smaak,Ben Westbeech","Âu Mỹ,Electronic / Dance,Nhạc Phim",329,Squeeze Me
N.e.r.d.,"Âu Mỹ,Rap / Hip Hop,Nhạc Phim",406,Lapdance
Whitney Duncan,"Âu Mỹ,Country",38,All I Want For Christmas Is You
OK Go,"Âu Mỹ,Pop,Nhạc Phim",691,I Won't Let You Down (Shockbit Remix)
B.o.B,"Âu Mỹ,Rap / Hip Hop,Nhạc Phim",807,How You Do That
"Pitbull,Mayer Hawthorne","Âu Mỹ,Electronic / Dance,Nhạc Phim",2559,Do It
Nhiều nghệ sĩ,"Âu Mỹ,Electronic / Dance,Nhạc Phim",4079,Delirious (Boneless)
Kelsea Ballerini,"Âu Mỹ,Country",2037,Love Me Like You Mean It
"Lil Wayne,Big Sean","Âu Mỹ,Rap / Hip Hop,Nhạc Phim",405,My Homies Still
Kenny Chesney,"Âu Mỹ,Country",104,Save It For A Rainy Day
"Blake Shelton,Ashley Monroe","Âu Mỹ,Country",3038,Lonely Tonight
Jason Aldean,"Âu Mỹ,Country",83,Tonight Looks Good On You
Carrie Underwood,"Âu Mỹ,Country",3565,Little Toy Guns
A Thousand Horses,"Âu Mỹ,Country",47,Smoke
Cole Swindell,"Âu Mỹ,Country",32,Let Me See Ya Girl
Cam,"Âu Mỹ,Country",378,Burning House
Canaan Smith,"Âu Mỹ,Country",51,Love You Like That
"Wale,Usher","Âu Mỹ,Rap / Hip Hop",607,The Matrimony
Luke Bryan,"Âu Mỹ,Country",1186,I See You
Florida Georgia Line,"Âu Mỹ,Country",1384,Sippin' On Fire
Dolly Parton,"Âu Mỹ,Country",32,Santa Claus Is Coming To Town
Miranda Lambert,"Country,Âu Mỹ",42568,The House That Built Me
"Pitbull,Neyo","Âu Mỹ,Rap / Hip Hop",192793,Time Of Our Lives
Jewel,"Âu Mỹ,Pop",618,Angels We Have Heard On High
Alabama,"Âu Mỹ,Country",635,Come Find Me
J. Cole,"Âu Mỹ,Rap / Hip Hop",80,Wet Dreamz
"Kid Ink,DeJ Loaf","Âu Mỹ,Rap / Hip Hop",1557,Be Real
