singers,genres,total_play,title
Bằng Cường,Nhạc Trẻ,69629,Nụ Hôn Gian Dối
Lê Hiếu,Nhạc Trẻ,26757,Đợi Em Về
Lệ Quyên,Trữ Tình,934178,Kiếp Cầm Ca
Lệ Quyên,Trữ Tình,959159,Cho Vừa Lòng Em
Lệ Quyên,Trữ Tình,941925,Tình Yêu Trả Lại Trăng Sao
Lệ Quyên,Trữ Tình,970875,Chiều Cuối Tuần
"Trần Hà My (Mờ Naive),Vương Anh Tú",Thể Loại Khác,15484,Ngày Hôm Qua Trả Lời Những Câu Hỏi
Lệ Quyên,Trữ Tình,1113716,Sương Lạnh Chiều Đông
Thanh Hưng Idol,Nhạc Trẻ,18863,Đợi Em Về
Jimmii Nguyễn,Trữ Tình,468628,Đợi Em Về
Lệ Quyên,Trữ Tình,1049677,Ai Cho Tôi Tình Yêu
Lệ Quyên,Nhạc Trẻ,5827247,Nếu Em Được Chọn Lựa
"Hồ Trung Dũng,Lệ Quyên",Trữ Tình,59551,Một Lần Nào Cho Tôi Gặp Lại Em
"Ngọc Lan,Lâm Thúy Vân",Trữ Tình,69274,Mưa Trên Biển Vắng
Đinh Kiến Phong,Nhạc Trẻ,127248,Dù Không Chung Đôi
Như Ý,Trữ Tình,9406,Mưa Trên Biển Vắng
Như Quỳnh,Trữ Tình,45299,Hoa Nở Về Đêm
Vũ Cát Tường,Nhạc Trẻ,9621,Góc Đa Hình
Ngô Kiến Huy,Nhạc Trẻ,2878,Yêu Rất Thật
"Ngô Kiến Huy,Khổng Tú Quỳnh",Nhạc Trẻ,1637,Yêu Em
Ngọc Lan,Trữ Tình,519746,Mưa Trên Biển Vắng
Ngô Kiến Huy,Nhạc Trẻ,185961,"LK Nghi Ngờ, Vì Anh Yêu Em, Giả Vờ Yêu (Remix)"
Ngô Kiến Huy,Thể Loại Khác,7413,Yêu Như Không Yêu (Remix)
Ngô Kiến Huy,Không Lời,23443,Là Người Em Đã Yêu (Beat & Instrumental)
Khắc Việt,Nhạc Trẻ,75559,Ngỡ
Vương Anh Tú,Nhạc Trẻ,26396,Xin Người Nhớ Tên (Live)
OnlyC,Nhạc Trẻ,10519,Yêu em mà thôi
"Isaac (365),OnlyC,DJ Gin",Thể Loại Khác,777500,Yêu Không Nghỉ Phép (The Remix - Hòa Âm Ánh Sáng 2015)
"Kaisoul,Mr. Đùm",Rap Việt,357372,Hết Rồi
Ngô Kiến Huy,Nhạc Trẻ,121039,Bao Lâu Rồi
OnlyC,Rap Việt,19124,Xa Em
OnlyC,Nhạc Trẻ,692716,Mãi Luôn Gần Nhau (Kungfu Phở OST)
