singers,genres,total_play,title
La Hoàng Phúc,Nhạc Trẻ,135289,Cố Gượng Cười
The Men,Nhạc Trẻ,3074738,Anh Sợ Mất Em
"Hoàng Tôn,Kay Trần",Nhạc Trẻ,4864042,Chỉ Có Em
Khắc Việt,Nhạc Trẻ,559046,Đừng Cố Yêu
Hồ Quang Hiếu,Nhạc Trẻ,8277419,Nơi Ấy Con Tìm Về
HKT,Nhạc Trẻ,4336533,Bên Anh Em Sẽ Không Có Tương Lai
Yuki Huy Nam,Nhạc Trẻ,6551691,Ngày Ngày Gọi Tên Em
Trần Hà My (Mờ Naive),Nhạc Trẻ,827912,Ngày Hôm Qua Đã Từng
Cao Thái Sơn,Nhạc Trẻ,1846843,Yêu Em Là Định Mệnh
Minh Vương M4U,Nhạc Trẻ,2282478,Anh Nhớ Em Người Yêu Cũ
Wanbi Tuấn Anh,Nhạc Trẻ,315856,Bắt Sóng Cảm Xúc
Đan Nguyên,Trữ Tình,347090,Túy Ca
"Đan Nguyên,Hà Thanh Xuân",Trữ Tình,393753,Tiễn Một Người Đi
DJ,Nhạc Trẻ,878818,LK Nhạc Việt (Remix)
Đình Phong,Nhạc Trẻ,1047695,Yêu Đơn Phương Người Cũ
Đan Nguyên,Trữ Tình,409282,"LK Thành Phố Buồn, Giọt Lệ Sầu"
Đan Nguyên,Trữ Tình,832656,Tình chết theo mùa đông  (Lam Phương)
Đan Nguyên,Trữ Tình,504944,Nếu một ngày
Đan Nguyên,Trữ Tình,358641,Thói đời
Đan Nguyên,Trữ Tình,281633,Đêm Lang Thang (Vinh Sử)
Đan Nguyên,Trữ Tình,299560,Lầm (Lam Phương)
Đan Nguyên,Trữ Tình,366800,Căn nhà màu tím (Hoài Linh)
Đan Nguyên,Trữ Tình,853993,Lời Đắng Cho Cuộc Tình
Đan Nguyên,Trữ Tình,362016,Lời Cuối Cho Người Tình Phụ
Đan Nguyên,Trữ Tình,808164,Tình Như Mây Khói (Lam Phương)
Đan Nguyên,Trữ Tình,362556,LK Ngày Vui Qua Mau
Đan Nguyên,Trữ Tình,465509,Hãy Quên Anh
Đan Nguyên,Trữ Tình,897256,Xin Làm Người Tình Cô Đơn
Đan Nguyên,Trữ Tình,333287,Gặp Nhau Làm Chi
Đan Nguyên,Trữ Tình,548816,Chuyện Tình Không Dĩ Vãng
Châu Khải Phong,Không Lời,80230,Để Anh Bên Em Beat
Đan Nguyên,Trữ Tình,871218,Hoa Sứ Nhà Nàng (Hoàng Phương)
Châu Khải Phong,Không Lời,107605,Đớn Đau Anh Vẫn Yêu Beat
Đan Nguyên,Trữ Tình,509252,Đôi mắt người xưa (Trúc Phương)
Đan Nguyên,Trữ Tình,399593,Tình Kỷ Nữ (Trịnh Lâm Ngân)
Đan Nguyên,Trữ Tình,331275,LK Giọt Lệ Tình
Đan Nguyên,Trữ Tình,388412,Thành Phố Sau Lưng
Đan Nguyên,Trữ Tình,698482,Chuyện Tình Mộng Thường
Đan Nguyên,Trữ Tình,589080,Tôi Vẫn Không Quên
Đan Nguyên,Trữ Tình,1150059,Buồn trong kỷ niệm (Trúc Phương)
Đan Nguyên,Trữ Tình,650097,Tội Tình
Đan Nguyên,Trữ Tình,586326,Xót Xa
Đan Nguyên,Trữ Tình,555643,Về đâu mái tóc người thương (Hoài Linh)
Đan Nguyên,Trữ Tình,681523,Hai lối mộng (Trúc Phương)
Đan Nguyên,Trữ Tình,1359198,Những Lời Này Cho Em
Đan Nguyên,Trữ Tình,490896,Tôi Vẫn Cô Đơn
Đan Nguyên,Nhạc Trẻ,1010930,Mùa Xuân Đó Có Em
Đan Nguyên,Trữ Tình,1886757,Thói Đời
Đan Nguyên,Trữ Tình,918235,Tôi Vẫn Không Quên
Tui Hát,Tui Hát,915134,LK Thất Tình
Đan Nguyên,Trữ Tình,2761740,Người Yêu Cô Đơn
Đan Nguyên,Trữ Tình,914091,Một Ngày Không Có Em
Đan Nguyên,Trữ Tình,1333296,Đêm Lang Thang
Đan Nguyên,Trữ Tình,1110947,Lời Cuối Cho Người Tình Phụ
Đan Nguyên,Trữ Tình,1108475,Ngày Đó Xa Rồi
"Băng Tâm,Đan Nguyên",Trữ Tình,2557902,Nếu Chúng Mình Cách Trở
