singers,genres,total_play,title
Rixton,"Âu Mỹ,Pop",581857,Me And My Broken Heart
Becky G,"Âu Mỹ,Pop",73740,Shower
Brantley Gilbert,"Âu Mỹ,Country",312,Bottoms Up
"RichGang Shaq,Young Thug","Âu Mỹ,Rap / Hip Hop",6650,Lifestyle
The Carpenters,"Âu Mỹ,Rock,Electronic / Dance,Blues / Jazz",1481681,Yesterday Once More
"Tim McGraw,Big & Rich","Âu Mỹ,Country",3,California
Michael Jackson,"Âu Mỹ,Pop",2083893,Heal The World
OneRepublic,"Âu Mỹ,Pop",950,Love Runs Out
S Club 7,"Hàn Quốc,Pop / Ballad",759284,Never Had A Dream Come True
Enrique Iglesias,"Âu Mỹ,Pop",516767,Hero
Backstreet Boys,"Âu Mỹ,Pop",1378884,Shape Of My Heart
Faith Hill,,139047,There You'll Be
Bryan Adams,"Pop,Âu Mỹ",184453,(Everything I Do) Do It For You
Sum 41,"Âu Mỹ,Pop",24084,We're All To Blame
Diana Ross,"Âu Mỹ,Pop",2557942,If We Hold On Together
One Republic,"Âu Mỹ,Pop",573460,Counting Stars
"Clean Bandit,Jess Glynne","Âu Mỹ,Pop",427163,Rather Be
Avicii,"Âu Mỹ,Trance / House / Techno",1419678,Wake Me Up
Jason Derulo,"Âu Mỹ,Pop",213844,Want To Want Me
Imagine Dragons,"Âu Mỹ,Nhạc Phim",453799,Radioactive
Winner,"Hàn Quốc,Electronic / Dance",375880,Empty
Sunmi,"Hàn Quốc,Electronic / Dance",125067,Full Moon
JoJo,"Pop,Âu Mỹ",352340,"Too Little, Too Late"
Girl's Day,"Hàn Quốc,Electronic / Dance",88751,Darling
Sam Smith,"Âu Mỹ,Pop",584071,Stay With Me
Infinite,"Hàn Quốc,Electronic / Dance",253689,Back
Tae Yang,"Hàn Quốc,Pop / Ballad",706026,"Eyes, Nose, Lips"
"Soyu (Sistar),Junggigo","Hàn Quốc,R&B",828280,Some
BEAST,"Hàn Quốc,Pop / Ballad,R&B",370065,12:30'
Old Dominion,"Âu Mỹ,Country",0,Said Nobody
Old Dominion,"Âu Mỹ,Country",0,Wrong Turns
Old Dominion,"Âu Mỹ,Country",1,Crazy Beautiful Sexy
Old Dominion,"Âu Mỹ,Country",4,Nowhere Fast
Old Dominion,"Âu Mỹ,Country",0,Til It’s Over
Old Dominion,"Âu Mỹ,Country",2,Song For Another Time
Old Dominion,"Âu Mỹ,Country",1,Beer Can In A Truck Bed
Old Dominion,"Âu Mỹ,Country",21,Break Up With Him
Old Dominion,"Âu Mỹ,Country",26,We Got It Right
Billy Gilman,"Âu Mỹ,Country,Pop",10,Wishing You Were Here
Villagers,"Âu Mỹ,Country,Pop",55,Nothing Arrived (Live)
Falls,"Âu Mỹ,Country,Pop",6,Hey
Jennifer Nettles,"Âu Mỹ,Country",39,Unlove You
Billy Gilman,"Âu Mỹ,Country",66,Christmas Time
Florida Georgia Line,"Âu Mỹ,Country",4506,Dirt
Echosmith,"Âu Mỹ,Alternative",185658,Cool Kids
Jason Aldean,"Âu Mỹ,Country",12495,Burnin' It Down
"YG,Jeezy","Âu Mỹ,Rap / Hip Hop",10633,My Hitta
"Tinashe,Schoolboy Q","Âu Mỹ,R&B / Soul",1201,2 On
Avicii,"Âu Mỹ,Electronic / Dance",17639,Hey Brother
Maroon 5,"Âu Mỹ,Pop",1686401,Animals
Imagine Dragons,"Âu Mỹ,Pop",18367,Radioactive
Ed Sheeran,"Âu Mỹ,Pop",872,Sing
Red Hot Chili Peppers,"Âu Mỹ,Rock",12719,Tell Me Baby
Dan Byrd,"Âu Mỹ,Blues / Jazz",2653887,Boulevard
"Drake,Majid Jordan","Âu Mỹ,Rap / Hip Hop",61,"Hold On, We're Going Home"
Fools Garden,"Âu Mỹ,Pop,Rock",811805,Lemon Tree
Westlife,"Âu Mỹ,Pop",7884561,Soledad
Coldplay,"Âu Mỹ,Rock",88,The Hardest Part (Single)
Gwen Stefani,"Âu Mỹ,Pop,R&B / Soul",542534,4 In The Morning
"Avril Lavigne,Chad Kroeger","Âu Mỹ,Pop,Rock",804252,Let Me Go
Vanessa Amorosi,"Âu Mỹ,Pop",11677,Perfect
Lady Antebellum,"Âu Mỹ,Country",60333,Need You Now (Acoustic)
Lady Antebellum,"Country,Âu Mỹ",706328,Can't Take My Eyes Off You
Marc Terenzi,"Âu Mỹ,Pop",4710467,Love To Be Loved By You
Lady Antebellum,"Âu Mỹ,Country",1319445,Just A Kiss
Luke Bryan,"Âu Mỹ,Country",2124,Play It Again
Hunter Hayes,"Âu Mỹ,Country",1,Suitcase
"Vince Gill,Little Big Town","Âu Mỹ,Country",35,Take Me Down
Hunter Hayes,"Âu Mỹ,Country",1,Saint Or A Sinner
Chris Lane,"Âu Mỹ,Country",257,Stolen Car
Hunter Hayes,"Âu Mỹ,Country",2,I Mean You
Hunter Hayes,"Âu Mỹ,Country",0,The Trouble With Love
Hunter Hayes,"Âu Mỹ,Country",0,The Trouble With Love (Acoustic)
Hunter Hayes,"Âu Mỹ,Country",0,21 (Acoustic)
Hunter Hayes,"Âu Mỹ,Country",1,Saint Or A Sinner (Acoustic)
Hunter Hayes,"Âu Mỹ,Country",3,Suitcase (Acoustic)
Hunter Hayes,"Âu Mỹ,Country",0,Young And In Love (Acoustic)
Hunter Hayes,"Âu Mỹ,Country",4,21 (Live Wheels Up 2015 Tour)
"Hunter Hayes,Lady Antebellum","Âu Mỹ,Country",6,Where It All Begins (Acoustic)
Ed Sheeran,"Âu Mỹ,Pop",194821,Don't
Hunter Hayes,"Âu Mỹ,Country",2,I Mean You (Acoustic)
MKTO,"Âu Mỹ,Pop",15472,Classic
Paramore,"Âu Mỹ,Rock",29218,Ain't It Fun
Aloe Blacc,"Âu Mỹ,R&B / Soul",56271,The Man
Katy Perry,"Âu Mỹ,Pop",2190151,Roar
Coldplay,"Âu Mỹ,Rock,Alternative",413048,A Sky Full Of Stars
"Florida Georgia Line,Luke Bryan","Âu Mỹ,Country",12133,This Is How We Roll
